Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
87751d4c-a850-1e2c-44dc-da6a797d76de,2006-06-25,,683-45-2337,S11457663,X60298696X,Dr.,Karen,Patrick,Sandoval,,Barajas,S,other,hispanic,F,Hillmouth UT US,092 Richardson Junction,North Barbara,Massachusetts,Gonzalez County,25018,02052,41.302665,-71.252762,244532.07,29412.43,99045
60e011eb-c8ca-3123-cbcc-66719bc6d727,1970-03-05,,415-12-0305,S98379570,X45325942X,Mrs.,Melissa,Samantha,Rogers,,,S,native,nonhispanic,F,North Veronica NE US,62859 Theresa Center Apt. 816,Barnettfort,Massachusetts,Woods County,25013,01788,42.603545,-72.842261,197406.39,66859.75,38744
eed7c61c-17d8-a217-99eb-8ae44eb625bb,2006-09-12,,085-25-4286,S60994370,X80972639X,Mrs.,Joshua,Michael,Davidson,,,S,black,hispanic,M,Michellefurt TX US,43555 Anthony View Suite 080,Lake Ronald,Massachusetts,Price County,25007,02581,42.524535,-71.514025,198056.86,20857.73,149913
8c90d55a-843d-936e-4676-0384e4c32c2f,1957-03-02,,226-23-1278,S44992463,X43574552X,Mr.,Lawrence,Heather,Mullins,,,S,black,nonhispanic,M,South Joshuastad PA US,753 Campbell Mountains,Allenburgh,Massachusetts,Marshall County,25018,02125,42.705361,-71.089296,107201.15,3315.2,146430
6672f05d-15c7-b9e8-1e9f-77420107e0df,2004-09-11,,767-29-9944,S68811629,X76959357X,,Jackson,Adam,Lopez,,,S,native,hispanic,M,Rosemouth HI US,80391 Murillo Parkway,North Sara,Massachusetts,Macias County,25003,02370,42.724467,-70.019961,152345.43,13450.46,127715
fa3486d4-0918-d5fd-cce5-beb8981adcdb,1966-07-15,,236-68-8229,S52192948,X63382683X,Ms.,Ronnie,Thomas,Fowler,,,S,asian,hispanic,M,Josemouth MH US,4904 Acevedo Passage,Bushborough,Massachusetts,Gross County,25008,02067,41.774869,-73.011409,208257.06,31641.67,88823
0a0f7ff7-1a02-4e93-ce40-d2dfa9ffa6a3,1946-09-27,,711-04-2159,S47420777,X97093899X,,Dawn,Angela,Vega,,Adams,M,native,nonhispanic,F,East James NJ US,994 Robert Radial,South Kristinashire,Massachusetts,Hawkins County,25019,01755,41.600622,-73.461302,173864.19,71787.54,21799
71753a08-3a73-c0e6-3896-847c07e0eb85,1942-09-02,2021-08-13,165-03-2547,S95436045,X17272618X,,Mark,Rebecca,Cruz,,,M,asian,nonhispanic,M,North Reneeside ID US,53448 Howell Crossing Apt. 896,North Richard,Massachusetts,Morris County,25003,02404,42.158378,-70.563074,249998.98,7348.99,78441
ebb2fa32-1a3d-d820-3b52-6510fbdeef80,2002-05-03,,739-40-5089,S99310166,X11882559X,Dr.,Evelyn,Heather,Parks,,Malone,S,native,nonhispanic,F,Diaztown IL US,772 Elizabeth Junctions Suite 351,North Tamara,Massachusetts,Richardson County,25012,02739,42.88435,-71.44429,3801.83,44733.91,44214
97a49c73-7981-820a-9b7f-6b3c434ab313,2008-10-01,,226-67-2404,S77508904,X78212371X,Dr.,Christina,Walter,Reynolds,,,,other,nonhispanic,F,Franciscomouth MS US,7036 Boyd Mill,North Angelaport,Massachusetts,Bell County,25003,02500,41.447035,-73.07195,24045.87,48170.8,159419
